Channel;Company;Category;Subcategory;Year;Month;U;$
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Jun;3961;773997
Online;Other exclusives;Make Up;Mixed Make up;2022;Sep;2752;306804
B&M;Other exclusives;Make Up;Foundations;2023;Dec;6824;1518905
Online;Estée Lauder Brasil;Make Up;Mascaras;2023;Nov;9797;1721545
B&M;Other exclusives;Make Up;Highlighter;2023;Oct;4343;812246
B&M;Estée Lauder Brasil;Make Up;Eye liner;2022;May;8874;1228537
B&M;Other exclusives;Make Up;Lip Gloss;2022;Dec;6433;948700
B&M;Other exclusives;Make Up;Lipstick;2023;Jul;7741;1057831
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Mar;5092;726265
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Apr;6180;1012241
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;Aug;4948;609293
B&M;Other exclusives;Make Up;Foundations;2022;Jun;4119;850500
B&M;Other exclusives;Make Up;Mixed Make up;2023;Jul;3791;764014
B&M;Estée Lauder Brasil;Make Up;Lipstick;2022;Jul;34324;4106672
B&M;Other exclusives;Make Up;Lip Gloss;2023;Sep;4495;633699
B&M;Estée Lauder Brasil;Make Up;Mascaras;2021;May;7341;1038074
B&M;Estée Lauder Brasil;Make Up;Eye liner;2022;Dec;13105;2093102
B&M;Estée Lauder Brasil;Make Up;Eye liner;2021;Nov;9324;1215672
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2021;Jul;5849;590043
B&M;Estée Lauder Brasil;Make Up;Mascaras;2022;Apr;10390;1785948
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;May;6285;1103136
B&M;Estée Lauder Brasil;Make Up;Blush;2022;Dec;14060;2795106
B&M;Other exclusives;Make Up;Lip Gloss;2023;Apr;4750;634506
B&M;Other exclusives;Make Up;Mixed Make up;2022;Jun;2736;563004
B&M;Other exclusives;Make Up;Blush;2023;Mar;3900;633498
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;Jul;4833;523015
B&M;Other exclusives;Make Up;Mixed Make up;2022;Apr;2739;545048
B&M;Estée Lauder Brasil;Make Up;Highlighter;2021;Nov;4971;1105088
B&M;Other exclusives;Make Up;Lipstick;2023;Oct;6008;869833
B&M;Estée Lauder Brasil;Make Up;Lipstick;2022;Sep;34323;4108730
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Jul;6254;1066815
Online;Other exclusives;Make Up;Lipstick;2023;Jun;4069;588980
B&M;Estée Lauder Brasil;Make Up;Mascaras;2021;Oct;9502;1407985
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Jan;3474;349574
B&M;Estée Lauder Brasil;Make Up;Lipstick;2022;Aug;33612;3986800
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Sep;6337;1258755
B&M;Estée Lauder Brasil;Make Up;Lipstick;2022;Apr;32607;3622633
B&M;Estée Lauder Brasil;Make Up;Eye liner;2023;Dec;10490;2079952
B&M;Estée Lauder Brasil;Make Up;Lipstick;2022;Jun;29856;3589658
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Mar;3524;634134
B&M;Estée Lauder Brasil;Make Up;Mascaras;2021;Jun;7487;1007541
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2021;Jun;5544;581458
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Aug;5900;1072952
B&M;Other exclusives;Make Up;Mascaras;2021;Nov;2992;270852
B&M;LVMH Brasil;Make Up;Brows;2023;Nov;15384;2208268
B&M;Other exclusives;Make Up;Mixed lips;2022;May;2325;687350
B&M;Other exclusives;Make Up;Concealer;2022;Aug;4081;653640
B&M;Other exclusives;Make Up;Concealer;2023;Nov;8601;1241090
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2021;May;5269;549789
Online;Other exclusives;Make Up;Blush;2023;Jul;3411;507081
B&M;Estée Lauder Brasil;Make Up;Eye liner;2022;Apr;8002;1123645
B&M;Estée Lauder Brasil;Make Up;Eye liner;2022;Mar;6852;942902
B&M;Other exclusives;Make Up;Concealer;2023;Dec;6693;1144602
B&M;Other exclusives;Make Up;Foundations;2022;Sep;4627;958248
B&M;Estée Lauder Brasil;Make Up;Lipstick;2021;Nov;32009;3298354
Online;Estée Lauder Brasil;Make Up;Mascaras;2021;Nov;6620;883175
B&M;Other exclusives;Make Up;Highlighter;2021;Nov;3886;510690
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;Mar;5064;549429
B&M;Other exclusives;Make Up;Lipstick;2023;Sep;5503;765751
B&M;Other exclusives;Make Up;Lipstick;2023;May;5886;902119
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Sep;6047;1169305
B&M;Other exclusives;Make Up;Lip Gloss;2022;Jul;3233;409748
